id,census_name,name
48870,Addateegala,Addateegala
48450,Ananthagiri,Ananthagiri
48440,Araku Valley,Araku Valley
48490,Chintapalle,Chintapalle
47320,Chintur,Chintur
48850,Devipatnam,Devipatnam
48430,Dumbriguda,Dumbriguda
47321,Chintur,Etapaka
48480,G.Madugula,Ganagaraju Madugula
48940,Gangavaram,Gangavaram
48500,Gudem Kotha Veedhi,Gudem Kotha Veedhi
48460,Hukumpeta,Hukumpeta
48510,Koyyuru,Koyyuru
47310,Kunavaram,Kunavaram
48840,Maredumilli,Maredumilli
48410,Munchingi Puttu,Munchingi Puttu
48470,Paderu,Paderu
48420,Peda Bayalu,Peda Bayalu
48880,Rajavommangi,Rajavommangi
48950,Rampachodavaram,Rampachodavaram
47330,Vararamachandrapuram,Vararamachandrapuram
48860,Y. Ramavaram,Y. Ramavaram
48710,Anakapalle,Anakapalle
48780,Atchutapuram,Atchutapuram
48730,Butchayyapeta,Butchayyapeta
48580,Cheedikada,Cheedikada
48720,Chodavaram,Chodavaram
48590,Devarapalle,Devarapalli
48790,Yelamanchili,Elamanchili
48530,Golugonda,Golugonda
48600,K.Kotapadu,K.Kotapadu
48760,Kasimkota,Kasimkota
48740,Kotauratla,Kotauratla
48570,Madugula,Madugula
48750,Makavarapalem,Makavarapalem
48770,Munagapaka,Munagapaka
48800,Nakkapalle,Nakkapalle
48540,Narsipatnam,Narsipatnam
48520,Nathavaram,Nathavaram
48700,Paravada,Paravada
48810,Payakaraopeta,Payakaraopeta Mandal
48830,Rambilli,Rambilli
48560,Ravikamatham,Ravikamatham
48550,Rolugunta,Rolugunta
48820,S.Rayavaram,Sarvasiddhi Rayavaram
48610,Sabbavaram,Sabbavaram
53300,Anantapur,Anantapur Urban
53301,Anantapur,Anantapur Rural
45920,Atmakur,Atmakur
53180,Beluguppa,Beluguppa
53070,Bommanahal,Bommanahal
53200,Brahmasamudram,Brahmasamudram
53290,Bukkaraya Samudram,Bukkaraya Samudram
53040,D.Hirehal,D.Hirehal
53240,Garladinne,Garladinne
53100,Gooty,Gooty
53190,Gummagatta,Gummagatta
53090,Guntakal,Guntakal
53210,Kalyandurg,Kalyandurg
53340,Kambadur,Kambadur
53060,Kanekal,Kanekal
53230,Kudair,Kudair
53330,Kundurpi,Kundurpi
53280,Narpala,Narpala
53150,Pamidi,Pamidi
53140,Peddapappur,Peddapappur
53110,Peddavadugur,Peddavadugur
53260,Putlur,Putlur
53310,Raptadu,Raptadu
53050,Rayadurg,Rayadurg
53320,Settur,Settur
53250,Singanamala,Singanamala
53130,Tadpatri,Tadpatri
53170,Uravakonda,Uravakonda
53160,Vajrakarur,Vajrakarur
53080,Vidapanakal,Vidapanakal
53120,Yadiki,Yadiki
53270,Yellanur,Yellanur
53910,B.Kothakota,Beerangi Kothakota
52360,Chinnamandem,Chinnamandyam
52450,Chitvel,Chitvel
52350,Galiveedu,Galiveedu
53700,Gurramkonda,Gurramkonda
53710,Kalakada,Kalakada
53870,Kalikiri,Kalikiri
53720,Kambhamvaripalle,Kambhamvaripalle
50390,Koduru,Railway Koduru
53890,Kurabalakota,Kurabalakota
52400,Lakkireddipalle,Lakkireddypalle
53920,Madanapalle,Madanapalle
53670,Mulakalacheruvu,Mulakalacheruvu
52430,Nandalur,Nandalur
53930,Nimmanapalle,Nimmanapalle
52480,Obulavaripalle,Obulavaripalle
53900,Pedda Thippasamudram,Pedda Thippasamudram
53690,Peddamandyam,Peddamandyam
52440,Penagalur,Penagalur
53860,Pileru,Pileru
52470,Pullampeta,Pullampeta
52460,Rajampet,Rajampet
52410,Ramapuram,Ramapuram
54140,Ramasamudram,Ramasamudram
52390,Rayachoti,Rayachoti
52370,Sambepalle,Sambepalli
52380,T Sundupalle,T Sundupalle
53680,Thamballapalle,Thamballapalle
53880,Valmikipuram,Valmikipuram
52420,Veeraballe,Veeraballi
51120,Addanki,Addanki
50860,Amruthalur,Amruthalur
51050,Ballikurava,Ballikurava
50930,Bapatla,Bapatla
50890,Bhattiprolu,Bhattiprolu
50900,Cherukupalle H/O Arumbaka,Cherukupalle
51250,Chinaganjam,Chinaganjam
51230,Chirala,Chirala
51100,Inkollu,Inkollu
51110,Janakavarampanguluru,Janakavarampanguluru
51090,Karamchedu,Karamchedu
50920,Karlapalem,Karlapalem
50880,Kollur,Kolluru
51220,Korisapadu,Korisapadu
51060,Martur,Martur
50950,Nagaram,Nagaram
50940,Nizampatnam,Nizampatnam
51080,Parchur,Parchur
50910,Pittalavanipalem,Pittalavanipalem
50960,Repalle,Repalle
51040,Santhamaguluru,Santhamaguluru
50850,Tsundur,Tsundur
50870,Vemuru,Vemuru
51240,Vetapalem,Vetapalem
51070,Yeddana Pudi,Yeddanapudi
54230,Baireddipalle,Baireddipalle
54290,Bangarupalem,Bangarupalem
54210,Chittoor,Chittoor Rural
54211,Chittoor,Chittoor Urban
54130,Chowdepalle,Chowdepalle
54200,Gangadhara Nellore,Gangadhara Nellore
54310,Gudipala,Gudipala
54260,Gudupalle,Gudupalle
54110,Irala,Irala
54080,Karvetinagar,Karvetinagar
54270,Kuppam,Kuppam
54060,Nagari,Nagari
54040,Nindra,Nindra
54220,Palamaner,Palamaner
54320,Palasamudram,Palasamudram
54160,Peddapanjani,Peddapanjani
54090,Penumuru,Penumuru
53950,Pulicherla,Pulicherla
54150,Punganur,Punganur
54100,Puthalapattu,Puthalapattu
54280,Ramakuppam,Ramakuppam
50660,Rompicherla,Rompicherla
54250,Santhipuram,Santhipuram
53940,Sodam,Sodam
54120,Somala,Somala
54190,Srirangarajapuram,Srirangarajapuram
54180,Thavanampalle,Thavanampalle
53970,Vedurukuppam,Vedurukuppam
54240,Venkatagirikota,Venkatagirikota
54050,Vijayapuram,Vijayapuram
54300,Yadamarri,Yadamarri
49170,Anaparthy,Anaparthi
49160,Biccavolu,Biccavolu
49590,Chagallu,Chagallu
48591,Devarapalle,Devarapalle
48970,Gokavaram,Gokavaram
49510,Gopalapuram,Gopalapuram
49180,Kadiam,Kadiam
49050,Korukonda,Korukonda Mandal
49580,Kovvur,Kovvur
49560,Nallajerla,Nallajerla
49600,Nidadavole,Nidadavole
49710,Peravali,Peravali
49060,Rajahmundry (Urban),Rajahmundry Urban
49070,Rajahmundry Rural,Rajahmundry Rural
49080,Rajanagaram,Rajanagaram
49090,Rangampeta,Rangampeta
48140,Seethanagaram,Seethanagaram
49500,Tallapudi,Tallapudi
49700,Undrajavaram,Undrajavaram
50050,Agiripalle,Agiripalle
